Osteoporosis ,complex
"Carcinoma, Ovarian Epithelial ",complex
Coronary Arteriosclerosis ,complex
Conventional (Clear Cell) Renal Cell Carcinoma ,complex
"Kidney Failure, Chronic ",complex
Malignant neoplasm of ovary ,complex
Myocardial Infarction ,complex
Colitis ,autoimmune
Chronic Obstructive Airway Disease ,complex
Malignant tumor of colon ,complex
Psoriasis ,autoimmune
Malignant mesothelioma ,complex
Mesothelioma ,complex
Parkinson Disease ,complex
Small cell carcinoma of lung ,complex
"PARKINSON DISEASE 2, AUTOSOMAL RECESSIVE JUVENILE ",complex
"Diabetes Mellitus, Insulin-Dependent ",autoimmune
Ovarian Mucinous Adenocarcinoma ,complex
Squamous cell carcinoma of lung ,complex
Malignant neoplasm of lung ,complex
Celiac Disease ,autoimmune
Non-Small Cell Lung Carcinoma ,complex
Malignant neoplasm of pancreas ,complex
Fatty Liver ,complex
Behcet Syndrome ,autoimmune
Pulmonary Emphysema ,complex
Crohn Disease ,autoimmune
Myocardial Ischemia ,complex
Malignant neoplasm of kidney ,complex
Ovarian Serous Adenocarcinoma ,complex
"Diabetes Mellitus, Non-Insulin-Dependent ",complex
Alzheimer's Disease ,complex
Juvenile arthritis ,autoimmune
Malignant neoplasm of endometrium ,complex
Rheumatoid Arthritis ,autoimmune
"Carcinoma, Pancreatic Ductal ",complex
Non-alcoholic Fatty Liver Disease ,complex
Papillary thyroid carcinoma ,complex
Adenocarcinoma of lung disorder,complex
Colorectal Carcinoma ,complex
Endometriosis ,complex
Multiple Sclerosis ,autoimmune
Nephroblastoma ,complex
Atherosclerosis ,complex
Ulcerative Colitis ,autoimmune
"Lupus Erythematosus, Systemic ",autoimmune
Coronary heart disease ,complex
Large cell carcinoma of lung ,complex
Sarcopenia,complex
Irritable Bowel Syndrome,complex
Chronic Kidney Diseases,complex
Chronic Periodontitis,autoimmune
Vasculitis,autoimmune